"corpus","preloaded/frtenten12_2"
"subcorpus",""
Item,Frequency
"autre",21309133
"grand",12622593
"nouveau",12145149
"bon",12010425
"petit",10756640
"même",9362377
"dernier",6891886
"seul",5958064
"beau",5133729
"jeune",4575477
"différent",4351074
"français",4011059
"nombreux",3960784
"important",3929756
"meilleur",3839250
"juste",3661070
"vrai",3519980
"social",3359741
"possible",3330580
"général",3224612
"propre",3169887
"politique",3153709
"simple",2931015
"national",2892932
"plein",2867041
"fort",2719320
"gros",2644782
"ancien",2573704
"haut",2443326
"présent",2358972
"aujourd",2305028
"principal",2253777
"humain",2235668
"international",2175683
"sûr",2171838
"prochain",2100164
"nécessaire",2092357
"difficile",2071947
"européen",1948534
"gratuit",1887259
"économique",1864612
"réel",1843567
"blanc",1788030
"noir",1771439
"particulier",1747954
"local",1747319
"actuel",1717322
"facile",1686747
"professionnel",1652317
"mauvais",1639702
"technique",1605650
"divers",1588385
"financier",1560737
"public",1553831
"certain",1539220
"responsable",1536005
"disponible",1525976
"long",1506162
"libre",1504873
"naturel",1475704
"longue",1453684
"personnel",1451505
"quelqu",1410218
"publique",1401439
"américain",1400927
"véritable",1397972
"unique",1382947
"mondial",1353639
"vieux",1343134
"rouge",1326851
"étranger",1302182
"est-ce",1294744
"prêt",1256792
"suivant",1255510
"rapide",1217581
"complet",1215891
"proche",1214896
"supérieur",1214051
"moyen",1209986
"entier",1205433
"gauche",1173973
"capable",1159612
"commun",1159275
"dur",1144154
"droit",1125650
"efficace",1107712
"faible",1104197
"normal",1103532
"chaud",1098736
"physique",1090242
"total",1089175
"excellent",1085344
"large",1076907
"heureux",1062385
"court",1057137
"final",1054942
"super",1053900
"fin",1046629
"clair",1028311
"spécial",1015233
"scientifique",1007545
"commercial",990073
"joli",987621
"culturel",985526
"futur",982162
"utile",973439
"intéressant",970165
"bas",964837
"anglais",960869
"vert",951838
"militaire",945690
"officiel",931058
"essentiel",929134
"frais",925517
"grave",918750
"direct",918656
"rare",918177
"magnifique",910753
"précis",894955
"régional",894403
"pire",894134
"supplémentaire",889773
"doux",876804
"traditionnel",874711
"in",867404
"léger",865414
"riche",860665
"populaire",849270
"central",847255
"historique",847160
"profond",834276
"faux",833520
"puissant",831399
"spécifique",824222
"impossible",823974
"relatif",819101
"internet",817323
"précédent",810380
"nul",806339
"original",798663
"cher",795872
"actif",795580
"récent",795549
"moindre",792630
"pratique",792212
"civil",790285
"collectif",788897
"classique",788663
"moderne",774773
"énorme",770886
"médical",765182
"lourd",760609
"bleu",755569
"scolaire",752629
"froid",743392
"positif",726416
"e",721688
"religieux",720698
"pur",720520
"majeur",718420
"double",715699
"net",703611
"agréable",694866
"électrique",692268
"vidéo",690990
"parfait",680351
"familial",672612
"individuel",672254
"neuf",672148
"issu",661830
"matériel",661079
"quotidien",646263
"saint",643266
"intérieur",638480
"ème",637149
"privé",631378
"sportif",630818
"allemand",630246
"pauvre",629718
"idéal",627249
"célèbre",626616
"extérieur",626315
"dangereux",619840
"évident",618577
"sérieux",617977
"global",611101
"numérique",608086
"conséquent",606189
"industriel",604904
"a-t-il",604709
"vif",598317
"durable",591760
"administratif",588841
"alimentaire",586161
"content",582265
"objectif",581308
"exceptionnel",579887
"fameux",577395
"fondamental",565790
"âgé",564223
"indépendant",555325
"musical",552232
"sexuel",550225
"indispensable",549466
"complexe",547209
"canadien",545902
"superbe",544482
"multiple",541754
"juridique",537537
"électronique",530932
"er",530737
"annuel",530661
"calme",528537
"inférieur",523865
"est-il",521927
"interne",521582
"puisqu",520057
"moral",518319
"étrange",518043
"sensible",517251
"immense",517249
"accessible",514485
"biologique",506286
"immobilier",505201
"permanent",504078
"chinois",502045
"africain",500907
"mobile",495047
"vaste",494974
"fédéral",493678
"régulier",491403
"solide",490420
"informatique",489820
"précieux",488543
"inutile",488225
"urbain",486017
"portable",483778
"sympa",481730
"municipal",481303
"secondaire",475649
"arabe",474248
"spirituel",468249
"agricole",464201
"ouvert",462854
"chrétien",457764
"pareil",457644
"triste",455991
"sombre",454258
"féminin",453662
"vide",452940
"visible",450126
"sujet",446978
"solaire",444645
"malade",439945
"meme",439357
"artistique",435383
"continu",431664
"susceptible",431260
"fiscal",429640
"égal",428710
"bref",423068
"fou",422753
"obligatoire",422379
"violent",420008
"légal",419463
"négatif",418587
"l",416427
"virtuel",414558
"éventuel",413888
"exact",413514
"démocratique",412061
"catholique",411076
"contemporain",410509
"favorable",408486
"secret",405250
"divin",404125
"celle-ci",402091
"digne",401515
"initial",401037
"critique",400529
"extrême",398755
"italien",397078
"présidentiel",396923
"musulman",396516
"merveilleux",396423
"magique",395309
"terrible",395012
"occidental",394767
"suffisant",390038
"électoral",389997
"juif",387066
"amoureux",382789
"sauvage",382324
"gentil",381499
"espagnol",380041
"stratégique",378414
"ami",372082
"existant",371174
"judiciaire",370075
"conscient",367854
"aérien",367685
"potentiel",366540
"similaire",366420
"mental",363635
"correct",363534
"semblable",361752
"militant",358975
"vivant",358458
"sec",358196
"pédagogique",357449
"communautaire",357091
"universitaire",356626
"bien",356306
"royal",355970
"intelligent",354308
"immédiat",354096
"incroyable",352868
"constant",351984
"universel",350954
"russe",349626
"britannique",349508
"sacré",348467
"inconnu",347323
"étonnant",346317
"significatif",345133
"bancaire",344263
"habituel",343910
"c''",343712
"gras",343541
"remarquable",342507
"jaune",341631
"sain",339281
"variable",338893
"rose",337785
"animal",337572
"dynamique",335740
"parisien",333248
"intellectuel",332907
"extraordinaire",332444
"ferme",332318
"environnemental",328329
"rural",327030
"complémentaire",326123
"génial",325551
"curieux",323905
"impressionnant",323474
"définitif",322779
"rond",322043
"nucléaire",321573
"concret",321219
"socialiste",320954
"littéraire",320731
"automatique",319461
"identique",317907
"graphique",317276
"bénéficier",317119
"courant",315209
"fidèle",313978
"bizarre",313315
"j''",313209
"j",311475
"énergétique",309468
"d",309437
"incapable",308245
"intense",307902
"primaire",307004
"quelconque",306176
"étroit",305422
"tranquille",304855
"ordinaire",304687
"mal",301856
"gris",301085
"technologique",300892
"chimique",299853
"pertinent",298996
"mutuel",298835
"belge",298138
"écologique",296487
"japonais",296446
"contraire",296270
"romain",295508
"fréquent",295293
"patient",291467
"lent",291205
"logique",288946
"plan",287654
"massif",287589
"considérable",287489
"touristique",287163
"raisonnable",286907
"délicat",286234
"drôle",284697
"externe",283948
"visuel",283870
"adulte",283076
"probable",282391
"fixe",279922
"blond",279547
"plat",278766
"franc",277899
"sympathique",276162
"fiable",275881
"maternel",275716
"israélien",275250
"territorial",274294
"confortable",272310
"voisin",272245
"psychologique",270475
"syndical",270464
"sonore",270257
"moteur",267461
"climatique",266795
"clinique",266606
"cool",266174
"fier",263335
"discret",262006
"algérien",259595
"éducatif",259502
"éternel",259239
"suisse",257841
"directeur",256653
"volontaire",256016
"brun",255109
"arrière",254851
"lumineux",254099
"opérationnel",251560
"masculin",250253
"sud",249687
"automobile",248761
"effectif",247652
"douloureux",245915
"compétent",245615
"conforme",245214
"alternatif",244955
"légitime",243266
"géographique",242718
"libéral",242165
"humide",242019
"expert",241493
"distinct",241380
"tendre",241307
"n",240884
"stable",240353
"fragile",240159
"mineur",239262
"partiel",239079
"brut",237613
"censé",237043
"vital",236170
"gouvernemental",236046
"ultime",235794
"indien",234739
"oral",233790
"mécanique",233128
"valable",233037
"modeste",232732
"etre",232485
"palestinien",231693
"départemental",230679
"autonome",229190
"marin",229004
"sale",228572
"sanitaire",227888
"formidable",227657
"charmant",227576
"intime",227389
"performant",225836
"exclusif",225736
"trés",225446
"mystérieux",225056
"fantastique",224862
"ca",224611
"révolutionnaire",224334
"ouvrier",224050
"attentif",223295
"brillant",222279
"francophone",221912
"publicitaire",221200
"terrestre",220982
"téléphonique",220837
"antérieur",218814
"sage",218173
"capital",217972
"sexy",217844
"fonctionnel",217777
"épais",217744
"propriétaire",217739
"communiste",217353
"respectif",216954
"incontournable",215170
"vain",214172
"porno",213834
"folle|fou",213591
"routier",213360
"live",213333
"théorique",212559
"législatif",211867
"authentique",211267
"maximal",210604
"imaginaire",210213
"progressif",210148
"standard",208465
"noble",208216
"coûteux",207525
"porte",207081
"temporaire",206691
"coupable",206612
"élégant",206577
"sévère",206062
"communal",205791
"indique",205760
"joyeux",205747
"originaire",204879
"adéquat",203171
"surprenant",202651
"typique",202569
"latin",202089
"absent",202019
"mensuel",201783
"marocain",201601
"médiatique",201342
"strict",201161
"pénal",200679
"esthétique",200517
"ennemi",199950
"intermédiaire",199608
"qu",199152
"institutionnel",199146
"radical",198130
"budgétaire",197867
"illégal",197381
"utilisateur",196792
"maximum",196500
"varié",195474
"invisible",195361
"lointain",195306
"feu",194729
"réaliste",194248
"inquiet",193748
"québécois",192732
"constitutionnel",192589
"maritime",192057
"généreux",191349
"con",191039
"chaleureux",190907
"s",190447
"perdu",190300
"islamique",190043
"honnête",190038
"inédit",190012
"amical",189415
"policier",189036
"malheureux",187777
"ridicule",187639
"criminel",186817
"transparent",186790
"applicable",186711
"étudiant",186024
"mince",185978
"horrible",185396
"symbolique",184855
"est-elle",184807
"parlementaire",184782
"souple",184737
"nerveux",184677
"artiste",184501
"républicain",184409
"monétaire",184036
"c",183197
"végétal",183089
"optimal",182932
"thermique",182401
"plastique",182270
"excessif",182241
"demi",181871
"amusant",181056
"stupide",180928
"humanitaire",180661
"radio",180531
"silencieux",180487
"caractéristique",179993
"oriental",179954
"délicieux",179638
"spectaculaire",178842
"anniversaire",178410
"créatif",177305
"sincère",177141
"préférable",177023
"crucial",176720
"agressif",176610
"approprié",175221
"insuffisant",174523
"postal",174238
"domestique",174160
"provisoire",173565
"comparable",173171
"dramatique",172728
"infini",172440
"manuel",172239
"bénéfique",172184
"cohérent",171804
"armé",171794
"olympique",171696
"débutant",171578
"métallique",171487
"corporel",170995
"prudent",170693
"dominant",170686
"mère",170494
"préalable",170352
"solidaire",170256
"cardiaque",169787
"soi-même",169687
"suprême",169419
"équivalent",169264
"artificiel",168792
"génétique",168399
"dun",168148
"spatial",167980
"thérapeutique",167145
"exemplaire",166960
"chronique",166906
"fabuleux",166836
"organique",166318
"linguistique",166233
"mortel",165792
"prestigieux",165620
"the",165252
"nord",164849
"urgent",164181
"décisif",164067
"exécutif",163896
"cellulaire",163016
"créateur",162766
"consécutif",162544
"subtil",162362
"croissant",162156
"grec",162089
"philosophique",162040
"mini",161892
"provincial",161850
"sèche",161080
"méchant",160879
"mignon",160602
"marchand",160566
"convivial",160444
"romantique",160168
"asiatique",159438
"antique",159053
"renouvelable",159015
"aisé",158107
"comptable",157728
"familier",157148
"obscur",156105
"neutre",155522
"parent",155210
"parallèle",155084
"ouest",154518
"musculaire",153955
"liquide",153865
"absolu",153558
"bête",153053
"associatif",152607
"minimal",152475
"titulaire",152408
"réglementaire",151756
"rentable",151275
"apparent",151015
"primordial",150567
"sanguin",149914
"fait",149628
"cruel",149626
"équitable",149493
"mixte",149094
"banal",149016
"tunisien",148587
"gigantesque",148584
"passionnant",148473
"systématique",148268
"interactif",147881
"vertical",146786
"élémentaire",146524
"courageux",146379
"dit",146341
"anonyme",146334
"colonial",146187
"acceptable",145798
"brutal",145374
"successif",145055
"compatible",144822
"timide",144594
"hospitalier",144475
"horaire",144364
"satisfaisant",143966
"ordinateur",143964
"formel",143582
"apres",142797
"favori",141260
"m",141167
"a-t-elle",140715
"foncier",140350
"payant",140306
"poétique",140187
"crédible",139909
"représentatif",139259
"rigoureux",138681
"conventionnel",138010
"honorable",137735
"respectueux",137082
"intéressé",137073
"hebdomadaire",136986
"mort",136898
"cinquante",136743
"ethnique",136696
"frontière",136320
"pétrolier",136020
"innocent",135521
"pourvu",135510
"ambitieux",135506
"inattendu",135443
"optique",134962
"cinquième",134830
"iranien",134789
"égyptien",134754
"diplomatique",134418
"vague",133931
"singulier",133083
"abordable",132452
"tragique",132146
"documentaire",131768
"compact",131561
"désagréable",130245
"intégral",130116
"soviétique",130023
"vocal",129197
"prioritaire",128964
"xd",128808
"expérimental",128119
"préféré",127662
"ludique",127618
"islamiste",127315
"forestier",127147
"nocturne",126965
"médiéval",126175
"innombrable",126019
"invité",125796
"potable",125282
"idéologique",125220
"mythique",124919
"latéral",124767
"défensif",124477
"pervers",124286
"orange",124196
"jaloux",123936
"pénible",123851
"statistique",123295
"toxique",122890
"redoutable",122542
"vierge",121915
"mou",121500
"accessoire",121432
"prometteur",121384
"négligeable",121179
"intensif",121168
"injuste",121127
"grecque",120781
"natal",120728
"terroriste",120504
"audio",120407
"éthique",120292
"inévitable",120202
"pâle",120093
"sublime",120053
"psychique",119932
"idiot",119841
"inquiétant",119619
"émotionnel",119483
"sécuritaire",119362
"contradictoire",118993
"précoce",118961
"offensif",118855
"hostile",118746
"thématique",118355
"aveugle",118313
"propice",118129
"horizontal",118073
"impérial",117811
"prévu",117667
"adorable",116885
"instant",116781
"pharmaceutique",116464
"avantageux",115816
"ultra",115787
"bénévole",115622
"raciste",115560
"passif",115463
"insupportable",115429
"incertain",115169
"conservateur",115107
"rude",114978
"soucieux",114857
"exigeant",114713
"lisse",114425
"humble",114189
"enseignant",114090
"subit",114020
"productif",113841
"capitaliste",113487
"dense",113469
"triple",113441
"académique",113413
"céleste",113218
"souverain",113168
"souterrain",112953
"congolais",112879
"sourd",112833
"coquin",112819
"respiratoire",112734
"gourmand",112718
"maigre",112628
"indésirable",112505
"paisible",111938
"adverse",111922
"tardif",111802
"tropical",111786
"générique",111541
"désireux",111419
"dépendant",111359
"fatal",111347
"solitaire",111055
"abondant",111018
"protecteur",110713
"verbal",110580
"correspondant",110355
"dentaire",110282
"minéral",110129
"soudain",109785
"compétitif",109592
"lucratif",109572
"primitif",109109
"vulnérable",108354
"cérébral",107754
"salarial",107748
"marrant",107669
"pacifique",107634
"récurrent",107595
"splendide",107567
"bourgeois",107282
"chirurgical",106983
"producteur",106838
"chercheur",106704
"sauf",106517
"salope",106502
"mathématique",106431
"biblique",106222
"multimédia",106182
"magnétique",106168
"video",105802
"autochtone",105744
"prenant",105668
"savant",105656
"mature",105446
"ambiant",105367
"rationnel",105146
"chouette",104719
"ample",104647
"résistant",104581
"émergent",104525
"brésilien",104462
"aléatoire",104405
"constructif",104302
"flou",104169
"blog",104083
"minuscule",103728
"inoubliable",103301
"absurde",103202
"femelle",102839
"ferroviaire",102468
"tout",102317
"breton",102101
"inconscient",102097
"originel",102067
"inverse",102044
"celles-ci",102020
"attractif",102016
"indirect",101683
"artisanal",101622
"imposant",100662
"spontané",100656
"architectural",100654
"judicieux",100405
"indifférent",100352
"robuste",100028
"fluide",99691
"acide",99651
"méditerranéen",99404
"furieux",99395
"flagrant",99389
"ultérieur",99103
"amer",99063
"passager",98798
"minier",98791
"cinématographique",98737
"naïf",98588
"flamand",98292
"ministériel",97968
"menu",97334
"exotique",97223
"serein",97214
"fermé",97167
"légendaire",96964
"malin",96913
"glorieux",96595
"affectif",96421
"résidentiel",96360
"convenable",96324
"synthétique",96195
"terminal",96106
"explicite",96100
"celui-ci",96054
"connu",96037
"suspect",95841
"d''",95707
"aigu",95693
"cognitif",95682
"moche",95570
"instantané",95394
"majoritaire",95313
"muet",95304
"préventif",95187
"valide",95128
"gay",95124
"habile",94715
"parental",94402
"ménager",94335
"aprés",94317
"additionnel",93786
"temporel",93713
"brave",93588
"attrayant",93567
"exhaustif",93491
"creux",92819
"tactique",92684
"synonyme",92656
"souhaitable",92603
"convaincant",92543
"minime",92539
"sobre",92415
"démographique",92395
"rebelle",92304
"immobile",92055
"linéaire",92029
"apte",91939
"tactile",91375
"homosexuel",91143
"subjectif",90913
"pop",90599
"estival",90469
"adolescent",90324
"structurel",90069
"intact",89995
"impatient",89635
"honteux",89534
"optimiste",89447
"influent",89245
"raide",89139
"perpétuel",89066
"rigide",89057
"aquatique",88972
"fini",88689
"précaire",88362
"illustre",88330
"notable",88309
"pointu",87881
"circulaire",87817
"rassurant",87788
"ponctuel",87768
"lesbien",87220
"grossier",87209
"multinational",87166
"prime",87000
"distant",86788
"bis",86735
"aimable",86575
"problématique",86537
"festif",86012
"souriant",85972
"carré",85949
"utilisable",85834
"hypothécaire",85540
"boulot",85538
"polyvalent",85538
"restant",85528
"confus",85417
"perso",85398
"médiocre",85349
"o",85253
"sanglant",85084
"sénégalais",84819
"participant",84780
